
------ ******* ------ New Log ------ ******* ------
isTrain: True
net: MLP_CE
isCNN: False
isRandom: False
exp_name: Task1_MLP_CE
batch_size: 32
epoch: 250
milestones: [50, 100]
lr: 0.001
weight_decay: 0.0
reweight: 1.0
dir_root: ./data
task: Task_1
filename: data_1.mat
save_dir: ./experiments
MLP_CE(
  (mlp): Sequential(
    (0): Linear(in_features=779, out_features=32, bias=True)
    (1): ReLU()
    (2): Linear(in_features=32, out_features=32, bias=True)
    (3): ReLU()
    (4): Linear(in_features=32, out_features=32, bias=True)
    (5): ReLU()
    (6): Linear(in_features=32, out_features=2, bias=True)
  )
)
EPOCH = 081/250, [time] = 2.21s, [Acc 3840-tr]:0.978, [avrg loss] = 0.0725200. [Accu 961-Val]:0.958. Best @ 070, with accu 0.960.
EPOCH = 082/250, [time] = 2.20s, [Acc 3840-tr]:0.974, [avrg loss] = 0.0630157. [Accu 961-Val]:0.947. Best @ 070, with accu 0.960.
EPOCH = 083/250, [time] = 2.36s, [Acc 3840-tr]:0.977, [avrg loss] = 0.0658325. [Accu 961-Val]:0.951. Best @ 070, with accu 0.960.
EPOCH = 084/250, [time] = 2.17s, [Acc 3840-tr]:0.973, [avrg loss] = 0.0620836. [Accu 961-Val]:0.946. Best @ 070, with accu 0.960.
EPOCH = 085/250, [time] = 2.19s, [Acc 3840-tr]:0.982, [avrg loss] = 0.0683275. [Accu 961-Val]:0.957. Best @ 070, with accu 0.960.
EPOCH = 086/250, [time] = 2.27s, [Acc 3840-tr]:0.977, [avrg loss] = 0.0604260. [Accu 961-Val]:0.956. Best @ 070, with accu 0.960.
EPOCH = 087/250, [time] = 2.25s, [Acc 3840-tr]:0.977, [avrg loss] = 0.0634334. [Accu 961-Val]:0.955. Best @ 070, with accu 0.960.
EPOCH = 088/250, [time] = 2.17s, [Acc 3840-tr]:0.977, [avrg loss] = 0.0604257. [Accu 961-Val]:0.964. Best @ 088, with accu 0.964.
EPOCH = 089/250, [time] = 2.15s, [Acc 3840-tr]:0.980, [avrg loss] = 0.0574363. [Accu 961-Val]:0.957. Best @ 088, with accu 0.964.
EPOCH = 090/250, [time] = 2.12s, [Acc 3840-tr]:0.977, [avrg loss] = 0.0660367. [Accu 961-Val]:0.957. Best @ 088, with accu 0.964.
EPOCH = 091/250, [time] = 2.25s, [Acc 3840-tr]:0.983, [avrg loss] = 0.0560701. [Accu 961-Val]:0.958. Best @ 088, with accu 0.964.
EPOCH = 092/250, [time] = 2.15s, [Acc 3840-tr]:0.975, [avrg loss] = 0.0559261. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 093/250, [time] = 2.11s, [Acc 3840-tr]:0.980, [avrg loss] = 0.0561029. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 094/250, [time] = 2.27s, [Acc 3840-tr]:0.980, [avrg loss] = 0.0589945. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 095/250, [time] = 2.13s, [Acc 3840-tr]:0.979, [avrg loss] = 0.0587062. [Accu 961-Val]:0.956. Best @ 088, with accu 0.964.
EPOCH = 096/250, [time] = 2.18s, [Acc 3840-tr]:0.977, [avrg loss] = 0.0602352. [Accu 961-Val]:0.959. Best @ 088, with accu 0.964.
EPOCH = 097/250, [time] = 2.21s, [Acc 3840-tr]:0.980, [avrg loss] = 0.0672051. [Accu 961-Val]:0.964. Best @ 088, with accu 0.964.
EPOCH = 098/250, [time] = 2.20s, [Acc 3840-tr]:0.979, [avrg loss] = 0.0590603. [Accu 961-Val]:0.952. Best @ 088, with accu 0.964.
EPOCH = 099/250, [time] = 2.26s, [Acc 3840-tr]:0.974, [avrg loss] = 0.0542481. [Accu 961-Val]:0.954. Best @ 088, with accu 0.964.
EPOCH = 100/250, [time] = 2.33s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0527874. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 101/250, [time] = 2.20s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0504973. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 102/250, [time] = 2.27s, [Acc 3840-tr]:0.982, [avrg loss] = 0.0479192. [Accu 961-Val]:0.958. Best @ 088, with accu 0.964.
EPOCH = 103/250, [time] = 2.07s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0537173. [Accu 961-Val]:0.959. Best @ 088, with accu 0.964.
EPOCH = 104/250, [time] = 2.04s, [Acc 3840-tr]:0.982, [avrg loss] = 0.0500528. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 105/250, [time] = 2.01s, [Acc 3840-tr]:0.987, [avrg loss] = 0.0469082. [Accu 961-Val]:0.957. Best @ 088, with accu 0.964.
EPOCH = 106/250, [time] = 2.23s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0461389. [Accu 961-Val]:0.958. Best @ 088, with accu 0.964.
EPOCH = 107/250, [time] = 2.14s, [Acc 3840-tr]:0.983, [avrg loss] = 0.0481898. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 108/250, [time] = 2.26s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0485705. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 109/250, [time] = 2.15s, [Acc 3840-tr]:0.983, [avrg loss] = 0.0523516. [Accu 961-Val]:0.957. Best @ 088, with accu 0.964.
EPOCH = 110/250, [time] = 2.15s, [Acc 3840-tr]:0.983, [avrg loss] = 0.0495560. [Accu 961-Val]:0.958. Best @ 088, with accu 0.964.
EPOCH = 111/250, [time] = 2.21s, [Acc 3840-tr]:0.988, [avrg loss] = 0.0501655. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 112/250, [time] = 2.18s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0469671. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 113/250, [time] = 2.25s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0474075. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 114/250, [time] = 2.31s, [Acc 3840-tr]:0.982, [avrg loss] = 0.0481984. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 115/250, [time] = 2.30s, [Acc 3840-tr]:0.987, [avrg loss] = 0.0502661. [Accu 961-Val]:0.958. Best @ 088, with accu 0.964.
EPOCH = 116/250, [time] = 2.16s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0459704. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 117/250, [time] = 2.23s, [Acc 3840-tr]:0.981, [avrg loss] = 0.0454055. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 118/250, [time] = 2.13s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0448490. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 119/250, [time] = 2.12s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0496380. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 120/250, [time] = 2.18s, [Acc 3840-tr]:0.979, [avrg loss] = 0.0478644. [Accu 961-Val]:0.956. Best @ 088, with accu 0.964.
EPOCH = 121/250, [time] = 2.16s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0501979. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 122/250, [time] = 2.28s, [Acc 3840-tr]:0.982, [avrg loss] = 0.0471859. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 123/250, [time] = 2.23s, [Acc 3840-tr]:0.983, [avrg loss] = 0.0437151. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 124/250, [time] = 2.22s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0446714. [Accu 961-Val]:0.957. Best @ 088, with accu 0.964.
EPOCH = 125/250, [time] = 2.26s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0534696. [Accu 961-Val]:0.964. Best @ 088, with accu 0.964.
EPOCH = 126/250, [time] = 2.14s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0474069. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 127/250, [time] = 2.05s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0503109. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 128/250, [time] = 2.30s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0467459. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 129/250, [time] = 2.15s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0470784. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 130/250, [time] = 2.24s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0419955. [Accu 961-Val]:0.958. Best @ 088, with accu 0.964.
EPOCH = 131/250, [time] = 2.10s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0464335. [Accu 961-Val]:0.957. Best @ 088, with accu 0.964.
EPOCH = 132/250, [time] = 2.13s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0440408. [Accu 961-Val]:0.960. Best @ 088, with accu 0.964.
EPOCH = 133/250, [time] = 2.10s, [Acc 3840-tr]:0.986, [avrg loss] = 0.0478230. [Accu 961-Val]:0.961. Best @ 088, with accu 0.964.
EPOCH = 134/250, [time] = 2.22s, [Acc 3840-tr]:0.985, [avrg loss] = 0.0429058. [Accu 961-Val]:0.959. Best @ 088, with accu 0.964.
EPOCH = 135/250, [time] = 2.21s, [Acc 3840-tr]:0.981, [avrg loss] = 0.0437584. [Accu 961-Val]:0.963. Best @ 088, with accu 0.964.
EPOCH = 136/250, [time] = 2.11s, [Acc 3840-tr]:0.984, [avrg loss] = 0.0429639. [Accu 961-Val]:0.957. Best @ 088, with accu 0.964.
